,Content ID,Score,Reaction Type,Datetime,Content Type,Category
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,30,interested,22-05-2021 19:44,photo,Studying
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,45,intrigued,31-01-2021 16:03,photo,Studying
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,35,peeking,20-11-2020 17:26,photo,Studying
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,12,worried,11-04-2021 20:47,photo,Studying
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,50,like,13-06-2021 16:46,photo,Studying
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,60,heart,11-04-2021 14:29,photo,Studying
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,12,worried,02-03-2021 19:21,photo,Studying
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,5,hate,27-06-2020 18:44,photo,Studying
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,5,hate,09-05-2021 21:05,photo,Studying
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,70,cherish,04-08-2020 23:58,photo,Studying
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,75,super love,28-08-2020 03:57,photo,Studying
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,45,intrigued,25-08-2020 08:21,photo,Studying
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,15,scared,20-04-2021 23:48,photo,Studying
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,30,interested,07-03-2021 12:40,photo,Studying
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,20,indifferent,24-05-2021 03:21,photo,Studying
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,75,super love,24-01-2021 11:03,photo,Studying
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,0,disgust,09-04-2021 02:46,photo,Studying
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,75,super love,02-02-2021 03:43,photo,Studying
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,30,interested,04-02-2021 03:06,photo,Studying
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,10,dislike,09-11-2020 02:49,photo,Studying
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,15,scared,29-09-2020 16:00,photo,Studying
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,10,dislike,29-11-2020 21:33,photo,Studying
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,70,want,13-02-2021 07:54,photo,Studying
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,30,interested,14-07-2020 05:28,photo,Studying
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,20,indifferent,23-08-2020 10:30,photo,Studying
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,12,worried,10-05-2021 09:27,photo,Studying
45,97522e57-d9ab-4bd6-97bf-c24d952602d2,5,hate,15-03-2021 03:59,photo,Studying
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,10,dislike,25-06-2020 17:01,photo,healthy eating
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,45,intrigued,13-09-2020 00:11,photo,healthy eating
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,35,peeking,20-08-2020 18:17,photo,healthy eating
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,15,scared,11-02-2021 04:53,photo,healthy eating
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,5,hate,08-03-2021 10:40,photo,healthy eating
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,0,disgust,28-03-2021 21:15,photo,healthy eating
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,5,hate,25-05-2021 01:00,photo,healthy eating
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,50,like,15-03-2021 12:17,photo,healthy eating
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,65,love,05-05-2021 16:26,photo,healthy eating
56,9f737e0a-3cdd-4d29-9d24-753f4e3be810,65,love,31-08-2020 00:21,photo,healthy eating
57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,60,heart,16-06-2021 03:02,photo,healthy eating
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,20,indifferent,07-07-2020 10:52,photo,healthy eating
59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,35,peeking,20-08-2020 07:59,photo,healthy eating
60,9f737e0a-3cdd-4d29-9d24-753f4e3be810,65,love,23-09-2020 11:15,photo,healthy eating
61,9f737e0a-3cdd-4d29-9d24-753f4e3be810,50,like,24-03-2021 05:56,photo,healthy eating
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,5,hate,07-12-2020 19:13,photo,healthy eating
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,75,super love,03-08-2020 16:41,photo,healthy eating
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,72,adore,10-01-2021 15:36,photo,healthy eating
66,230c4e4d-70c3-461d-b42c-ec09396efb3f,15,scared,20-09-2020 08:48,photo,healthy eating
67,230c4e4d-70c3-461d-b42c-ec09396efb3f,70,cherish,20-07-2020 14:06,photo,healthy eating
68,230c4e4d-70c3-461d-b42c-ec09396efb3f,72,adore,24-10-2020 12:15,photo,healthy eating
69,230c4e4d-70c3-461d-b42c-ec09396efb3f,30,interested,06-06-2021 01:27,photo,healthy eating
70,230c4e4d-70c3-461d-b42c-ec09396efb3f,60,heart,25-12-2020 00:09,photo,healthy eating
71,230c4e4d-70c3-461d-b42c-ec09396efb3f,50,like,14-06-2021 07:56,photo,healthy eating
72,230c4e4d-70c3-461d-b42c-ec09396efb3f,50,like,05-06-2021 18:00,photo,healthy eating
73,230c4e4d-70c3-461d-b42c-ec09396efb3f,5,hate,18-11-2020 23:37,photo,healthy eating
74,230c4e4d-70c3-461d-b42c-ec09396efb3f,30,interested,09-05-2021 02:42,photo,healthy eating
75,230c4e4d-70c3-461d-b42c-ec09396efb3f,10,dislike,11-05-2021 08:38,photo,healthy eating
76,230c4e4d-70c3-461d-b42c-ec09396efb3f,35,peeking,12-11-2020 08:00,photo,healthy eating
77,230c4e4d-70c3-461d-b42c-ec09396efb3f,60,heart,21-06-2020 16:57,photo,healthy eating
78,230c4e4d-70c3-461d-b42c-ec09396efb3f,75,super love,04-03-2021 23:58,photo,healthy eating
79,230c4e4d-70c3-461d-b42c-ec09396efb3f,70,want,09-07-2020 16:47,photo,healthy eating
80,230c4e4d-70c3-461d-b42c-ec09396efb3f,5,hate,01-08-2020 19:16,photo,healthy eating
81,230c4e4d-70c3-461d-b42c-ec09396efb3f,10,dislike,23-11-2020 22:46,photo,healthy eating
82,230c4e4d-70c3-461d-b42c-ec09396efb3f,15,scared,11-12-2020 14:08,photo,healthy eating
83,230c4e4d-70c3-461d-b42c-ec09396efb3f,10,dislike,23-04-2021 23:41,photo,healthy eating
84,230c4e4d-70c3-461d-b42c-ec09396efb3f,70,want,13-11-2020 00:33,photo,healthy eating
85,230c4e4d-70c3-461d-b42c-ec09396efb3f,30,interested,09-06-2021 10:13,photo,healthy eating
86,230c4e4d-70c3-461d-b42c-ec09396efb3f,65,love,29-10-2020 19:41,photo,healthy eating
87,230c4e4d-70c3-461d-b42c-ec09396efb3f,60,heart,14-05-2021 12:47,photo,healthy eating
88,230c4e4d-70c3-461d-b42c-ec09396efb3f,0,disgust,04-08-2020 05:40,photo,healthy eating
89,230c4e4d-70c3-461d-b42c-ec09396efb3f,72,adore,07-08-2020 04:09,photo,healthy eating
90,230c4e4d-70c3-461d-b42c-ec09396efb3f,72,adore,23-10-2020 21:19,photo,healthy eating
91,230c4e4d-70c3-461d-b42c-ec09396efb3f,72,adore,14-11-2020 23:53,photo,healthy eating
92,230c4e4d-70c3-461d-b42c-ec09396efb3f,12,worried,04-08-2020 19:26,photo,healthy eating
93,230c4e4d-70c3-461d-b42c-ec09396efb3f,30,interested,12-11-2020 04:54,photo,healthy eating
95,356fff80-da4d-4785-9f43-bc1261031dc6,12,worried,03-04-2021 12:17,photo,technology
96,356fff80-da4d-4785-9f43-bc1261031dc6,70,want,27-09-2020 22:15,photo,technology
97,356fff80-da4d-4785-9f43-bc1261031dc6,60,heart,27-10-2020 05:45,photo,technology
98,356fff80-da4d-4785-9f43-bc1261031dc6,15,scared,15-10-2020 09:11,photo,technology
99,356fff80-da4d-4785-9f43-bc1261031dc6,60,heart,07-05-2021 09:16,photo,technology
100,356fff80-da4d-4785-9f43-bc1261031dc6,5,hate,16-09-2020 08:39,photo,technology
101,356fff80-da4d-4785-9f43-bc1261031dc6,20,indifferent,29-10-2020 15:38,photo,technology
103,01ab84dd-6364-4236-abbb-3f237db77180,15,scared,24-05-2021 18:03,video,food
105,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,30,interested,25-02-2021 20:02,GIF,cooking
106,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,5,hate,02-05-2021 03:45,GIF,cooking
107,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,70,want,28-01-2021 08:49,GIF,cooking
108,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,35,peeking,15-02-2021 13:06,GIF,cooking
109,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,10,dislike,04-11-2020 21:25,GIF,cooking
110,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,65,love,23-06-2020 22:12,GIF,cooking
111,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,70,cherish,16-02-2021 04:01,GIF,cooking
112,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,30,interested,03-01-2021 08:44,GIF,cooking
113,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,72,adore,25-11-2020 12:45,GIF,cooking
114,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,50,like,03-12-2020 16:47,GIF,cooking
115,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,50,like,22-05-2021 21:03,GIF,cooking
116,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,70,cherish,18-01-2021 13:39,GIF,cooking
117,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,20,indifferent,06-01-2021 00:35,GIF,cooking
118,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,72,adore,14-05-2021 14:33,GIF,cooking
119,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,12,worried,27-05-2021 15:21,GIF,cooking
120,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,35,peeking,21-07-2020 02:12,GIF,cooking
121,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,10,dislike,26-05-2021 06:09,GIF,cooking
122,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,10,dislike,25-02-2021 03:16,GIF,cooking
123,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,45,intrigued,07-12-2020 22:50,GIF,cooking
124,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,20,indifferent,24-10-2020 14:06,GIF,cooking
125,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,35,peeking,01-09-2020 21:18,GIF,cooking
126,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,72,adore,10-05-2021 22:07,GIF,cooking
128,3f8590c7-6ab2-4973-805a-90cdec355f05,70,cherish,12-02-2021 16:37,video,dogs
129,3f8590c7-6ab2-4973-805a-90cdec355f05,60,heart,28-04-2021 15:22,video,dogs
130,3f8590c7-6ab2-4973-805a-90cdec355f05,45,intrigued,24-01-2021 00:38,video,dogs
131,3f8590c7-6ab2-4973-805a-90cdec355f05,12,worried,18-03-2021 01:53,video,dogs
132,3f8590c7-6ab2-4973-805a-90cdec355f05,0,disgust,14-01-2021 07:21,video,dogs
133,3f8590c7-6ab2-4973-805a-90cdec355f05,60,heart,23-12-2020 04:11,video,dogs
134,3f8590c7-6ab2-4973-805a-90cdec355f05,5,hate,21-05-2021 07:23,video,dogs
135,3f8590c7-6ab2-4973-805a-90cdec355f05,50,like,28-03-2021 23:25,video,dogs
136,3f8590c7-6ab2-4973-805a-90cdec355f05,35,peeking,16-09-2020 07:33,video,dogs
137,3f8590c7-6ab2-4973-805a-90cdec355f05,20,indifferent,08-11-2020 10:53,video,dogs
138,3f8590c7-6ab2-4973-805a-90cdec355f05,60,heart,06-03-2021 05:23,video,dogs
139,3f8590c7-6ab2-4973-805a-90cdec355f05,0,disgust,13-01-2021 23:35,video,dogs
140,3f8590c7-6ab2-4973-805a-90cdec355f05,70,want,06-09-2020 22:35,video,dogs
141,3f8590c7-6ab2-4973-805a-90cdec355f05,30,interested,24-06-2020 09:31,video,dogs
142,3f8590c7-6ab2-4973-805a-90cdec355f05,5,hate,07-02-2021 21:39,video,dogs
143,3f8590c7-6ab2-4973-805a-90cdec355f05,45,intrigued,21-01-2021 18:28,video,dogs
144,3f8590c7-6ab2-4973-805a-90cdec355f05,10,dislike,27-02-2021 00:21,video,dogs
145,3f8590c7-6ab2-4973-805a-90cdec355f05,12,worried,22-08-2020 12:06,video,dogs
146,3f8590c7-6ab2-4973-805a-90cdec355f05,70,cherish,03-08-2020 06:29,video,dogs
147,3f8590c7-6ab2-4973-805a-90cdec355f05,15,scared,02-08-2020 06:20,video,dogs
148,3f8590c7-6ab2-4973-805a-90cdec355f05,70,want,04-06-2021 04:57,video,dogs
149,3f8590c7-6ab2-4973-805a-90cdec355f05,75,super love,21-10-2020 09:07,video,dogs
150,3f8590c7-6ab2-4973-805a-90cdec355f05,10,dislike,26-12-2020 19:46,video,dogs
151,3f8590c7-6ab2-4973-805a-90cdec355f05,15,scared,02-03-2021 22:47,video,dogs
152,3f8590c7-6ab2-4973-805a-90cdec355f05,20,indifferent,31-03-2021 09:48,video,dogs
153,3f8590c7-6ab2-4973-805a-90cdec355f05,30,interested,14-06-2021 13:44,video,dogs
154,3f8590c7-6ab2-4973-805a-90cdec355f05,15,scared,27-12-2020 17:04,video,dogs
155,3f8590c7-6ab2-4973-805a-90cdec355f05,15,scared,11-02-2021 03:51,video,dogs
156,3f8590c7-6ab2-4973-805a-90cdec355f05,30,interested,07-12-2020 19:07,video,dogs
157,3f8590c7-6ab2-4973-805a-90cdec355f05,30,interested,28-12-2020 08:31,video,dogs
158,3f8590c7-6ab2-4973-805a-90cdec355f05,30,interested,26-10-2020 05:27,video,dogs
159,3f8590c7-6ab2-4973-805a-90cdec355f05,12,worried,26-09-2020 18:43,video,dogs
160,3f8590c7-6ab2-4973-805a-90cdec355f05,15,scared,25-11-2020 13:01,video,dogs
161,3f8590c7-6ab2-4973-805a-90cdec355f05,60,heart,11-07-2020 05:51,video,dogs
162,3f8590c7-6ab2-4973-805a-90cdec355f05,60,heart,19-03-2021 16:23,video,dogs
163,3f8590c7-6ab2-4973-805a-90cdec355f05,30,interested,11-10-2020 18:31,video,dogs
164,3f8590c7-6ab2-4973-805a-90cdec355f05,60,heart,02-11-2020 20:15,video,dogs
165,3f8590c7-6ab2-4973-805a-90cdec355f05,70,want,01-10-2020 03:35,video,dogs
166,3f8590c7-6ab2-4973-805a-90cdec355f05,0,disgust,11-02-2021 20:10,video,dogs
167,3f8590c7-6ab2-4973-805a-90cdec355f05,70,want,07-02-2021 15:59,video,dogs
168,3f8590c7-6ab2-4973-805a-90cdec355f05,5,hate,17-10-2020 11:46,video,dogs
169,3f8590c7-6ab2-4973-805a-90cdec355f05,50,like,09-08-2020 19:41,video,dogs
170,3f8590c7-6ab2-4973-805a-90cdec355f05,65,love,01-02-2021 02:40,video,dogs
171,3f8590c7-6ab2-4973-805a-90cdec355f05,72,adore,30-01-2021 09:36,video,dogs
173,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,70,want,31-03-2021 15:24,video,technology
174,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,75,super love,05-02-2021 17:00,video,technology
175,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,60,heart,19-02-2021 16:29,video,technology
176,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,12,worried,25-07-2020 00:00,video,technology
178,0bedca96-fb76-4287-a83c-17330ed39cce,72,adore,13-07-2020 02:38,photo,soccer
179,0bedca96-fb76-4287-a83c-17330ed39cce,20,indifferent,13-01-2021 13:11,photo,soccer
180,0bedca96-fb76-4287-a83c-17330ed39cce,12,worried,02-01-2021 16:46,photo,soccer
181,0bedca96-fb76-4287-a83c-17330ed39cce,45,intrigued,26-11-2020 02:25,photo,soccer
182,0bedca96-fb76-4287-a83c-17330ed39cce,70,want,25-08-2020 19:18,photo,soccer
183,0bedca96-fb76-4287-a83c-17330ed39cce,5,hate,01-02-2021 00:15,photo,soccer
184,0bedca96-fb76-4287-a83c-17330ed39cce,65,love,04-06-2021 14:36,photo,soccer
185,0bedca96-fb76-4287-a83c-17330ed39cce,72,adore,19-08-2020 13:38,photo,soccer
186,0bedca96-fb76-4287-a83c-17330ed39cce,70,cherish,22-04-2021 02:08,photo,soccer
187,0bedca96-fb76-4287-a83c-17330ed39cce,75,super love,26-06-2020 10:33,photo,soccer
188,0bedca96-fb76-4287-a83c-17330ed39cce,50,like,15-08-2020 18:16,photo,soccer
189,0bedca96-fb76-4287-a83c-17330ed39cce,65,love,26-11-2020 13:42,photo,soccer
191,b18cb63f-4c8e-44ee-a47f-541e95191d11,70,want,14-04-2021 00:56,photo,public speaking
192,b18cb63f-4c8e-44ee-a47f-541e95191d11,20,indifferent,21-07-2020 21:27,photo,public speaking
193,b18cb63f-4c8e-44ee-a47f-541e95191d11,10,dislike,29-03-2021 06:57,photo,public speaking
194,b18cb63f-4c8e-44ee-a47f-541e95191d11,70,want,20-05-2021 16:11,photo,public speaking
195,b18cb63f-4c8e-44ee-a47f-541e95191d11,50,like,02-11-2020 06:09,photo,public speaking
196,b18cb63f-4c8e-44ee-a47f-541e95191d11,20,indifferent,24-10-2020 15:37,photo,public speaking
197,b18cb63f-4c8e-44ee-a47f-541e95191d11,60,heart,07-09-2020 14:42,photo,public speaking
198,b18cb63f-4c8e-44ee-a47f-541e95191d11,15,scared,04-03-2021 02:46,photo,public speaking
199,b18cb63f-4c8e-44ee-a47f-541e95191d11,72,adore,07-01-2021 14:08,photo,public speaking
200,b18cb63f-4c8e-44ee-a47f-541e95191d11,35,peeking,06-07-2020 11:18,photo,public speaking
201,b18cb63f-4c8e-44ee-a47f-541e95191d11,50,like,27-03-2021 04:56,photo,public speaking
202,b18cb63f-4c8e-44ee-a47f-541e95191d11,45,intrigued,21-11-2020 21:25,photo,public speaking
203,b18cb63f-4c8e-44ee-a47f-541e95191d11,70,cherish,22-08-2020 01:25,photo,public speaking
204,b18cb63f-4c8e-44ee-a47f-541e95191d11,35,peeking,14-06-2021 11:45,photo,public speaking
205,b18cb63f-4c8e-44ee-a47f-541e95191d11,12,worried,15-07-2020 19:28,photo,public speaking
206,b18cb63f-4c8e-44ee-a47f-541e95191d11,45,intrigued,21-03-2021 14:39,photo,public speaking
207,b18cb63f-4c8e-44ee-a47f-541e95191d11,75,super love,07-04-2021 03:15,photo,public speaking
208,b18cb63f-4c8e-44ee-a47f-541e95191d11,70,cherish,24-04-2021 06:56,photo,public speaking
209,b18cb63f-4c8e-44ee-a47f-541e95191d11,60,heart,30-09-2020 14:05,photo,public speaking
210,b18cb63f-4c8e-44ee-a47f-541e95191d11,60,heart,19-07-2020 19:28,photo,public speaking
211,b18cb63f-4c8e-44ee-a47f-541e95191d11,15,scared,21-01-2021 07:08,photo,public speaking
212,b18cb63f-4c8e-44ee-a47f-541e95191d11,15,scared,31-01-2021 13:48,photo,public speaking
213,b18cb63f-4c8e-44ee-a47f-541e95191d11,5,hate,24-12-2020 03:24,photo,public speaking
214,b18cb63f-4c8e-44ee-a47f-541e95191d11,0,disgust,27-05-2021 01:44,photo,public speaking
215,b18cb63f-4c8e-44ee-a47f-541e95191d11,0,disgust,13-02-2021 04:14,photo,public speaking
216,b18cb63f-4c8e-44ee-a47f-541e95191d11,72,adore,14-07-2020 04:36,photo,public speaking
217,b18cb63f-4c8e-44ee-a47f-541e95191d11,10,dislike,15-07-2020 16:03,photo,public speaking
218,b18cb63f-4c8e-44ee-a47f-541e95191d11,50,like,08-10-2020 17:23,photo,public speaking
219,b18cb63f-4c8e-44ee-a47f-541e95191d11,60,heart,12-11-2020 23:55,photo,public speaking
220,b18cb63f-4c8e-44ee-a47f-541e95191d11,70,want,21-02-2021 05:01,photo,public speaking
221,b18cb63f-4c8e-44ee-a47f-541e95191d11,45,intrigued,09-07-2020 08:58,photo,public speaking
222,b18cb63f-4c8e-44ee-a47f-541e95191d11,72,adore,26-06-2020 23:45,photo,public speaking
223,b18cb63f-4c8e-44ee-a47f-541e95191d11,12,worried,20-11-2020 13:18,photo,public speaking
224,b18cb63f-4c8e-44ee-a47f-541e95191d11,50,like,29-05-2021 21:34,photo,public speaking
225,b18cb63f-4c8e-44ee-a47f-541e95191d11,20,indifferent,22-02-2021 02:48,photo,public speaking
226,b18cb63f-4c8e-44ee-a47f-541e95191d11,15,scared,07-01-2021 18:39,photo,public speaking
227,b18cb63f-4c8e-44ee-a47f-541e95191d11,72,adore,01-10-2020 15:10,photo,public speaking
228,b18cb63f-4c8e-44ee-a47f-541e95191d11,5,hate,21-11-2020 08:24,photo,public speaking
229,b18cb63f-4c8e-44ee-a47f-541e95191d11,15,scared,15-04-2021 13:50,photo,public speaking
230,b18cb63f-4c8e-44ee-a47f-541e95191d11,65,love,30-06-2020 01:14,photo,public speaking
231,b18cb63f-4c8e-44ee-a47f-541e95191d11,70,want,01-12-2020 15:06,photo,public speaking
232,b18cb63f-4c8e-44ee-a47f-541e95191d11,15,scared,07-11-2020 00:47,photo,public speaking
234,5118e9c5-1377-4cc5-a486-65b35b7b7b76,75,super love,30-06-2020 13:08,GIF,science
235,5118e9c5-1377-4cc5-a486-65b35b7b7b76,60,heart,04-08-2020 03:09,GIF,science
236,5118e9c5-1377-4cc5-a486-65b35b7b7b76,45,intrigued,28-07-2020 07:01,GIF,science
237,5118e9c5-1377-4cc5-a486-65b35b7b7b76,75,super love,25-10-2020 02:39,GIF,science
238,5118e9c5-1377-4cc5-a486-65b35b7b7b76,12,worried,05-07-2020 03:37,GIF,science
239,5118e9c5-1377-4cc5-a486-65b35b7b7b76,70,cherish,28-04-2021 15:16,GIF,science
240,5118e9c5-1377-4cc5-a486-65b35b7b7b76,20,indifferent,31-01-2021 00:54,GIF,science
241,5118e9c5-1377-4cc5-a486-65b35b7b7b76,72,adore,29-08-2020 11:37,GIF,science
242,5118e9c5-1377-4cc5-a486-65b35b7b7b76,45,intrigued,15-10-2020 12:09,GIF,science
243,5118e9c5-1377-4cc5-a486-65b35b7b7b76,65,love,02-08-2020 21:20,GIF,science
244,5118e9c5-1377-4cc5-a486-65b35b7b7b76,15,scared,31-10-2020 21:46,GIF,science
245,5118e9c5-1377-4cc5-a486-65b35b7b7b76,60,heart,12-10-2020 09:40,GIF,science
246,5118e9c5-1377-4cc5-a486-65b35b7b7b76,70,want,12-12-2020 12:22,GIF,science
247,5118e9c5-1377-4cc5-a486-65b35b7b7b76,50,like,09-01-2021 16:37,GIF,science
248,5118e9c5-1377-4cc5-a486-65b35b7b7b76,5,hate,23-08-2020 04:39,GIF,science
249,5118e9c5-1377-4cc5-a486-65b35b7b7b76,65,love,22-12-2020 04:20,GIF,science
250,5118e9c5-1377-4cc5-a486-65b35b7b7b76,0,disgust,07-11-2020 08:49,GIF,science
251,5118e9c5-1377-4cc5-a486-65b35b7b7b76,72,adore,17-04-2021 22:45,GIF,science
252,5118e9c5-1377-4cc5-a486-65b35b7b7b76,15,scared,21-04-2021 00:21,GIF,science
253,5118e9c5-1377-4cc5-a486-65b35b7b7b76,45,intrigued,19-07-2020 10:33,GIF,science
254,5118e9c5-1377-4cc5-a486-65b35b7b7b76,45,intrigued,06-07-2020 02:08,GIF,science
255,5118e9c5-1377-4cc5-a486-65b35b7b7b76,65,love,26-03-2021 05:42,GIF,science
258,0be59876-d70c-486c-8e0b-a06bef7a2cd6,70,cherish,13-09-2020 11:24,GIF,tennis
259,0be59876-d70c-486c-8e0b-a06bef7a2cd6,12,worried,28-01-2021 21:06,GIF,tennis
260,0be59876-d70c-486c-8e0b-a06bef7a2cd6,20,indifferent,20-01-2021 01:15,GIF,tennis
261,0be59876-d70c-486c-8e0b-a06bef7a2cd6,75,super love,03-09-2020 01:15,GIF,tennis
262,0be59876-d70c-486c-8e0b-a06bef7a2cd6,12,worried,09-01-2021 10:46,GIF,tennis
263,0be59876-d70c-486c-8e0b-a06bef7a2cd6,20,indifferent,19-09-2020 22:29,GIF,tennis
264,0be59876-d70c-486c-8e0b-a06bef7a2cd6,75,super love,29-05-2021 07:21,GIF,tennis
265,0be59876-d70c-486c-8e0b-a06bef7a2cd6,12,worried,15-05-2021 19:04,GIF,tennis
266,0be59876-d70c-486c-8e0b-a06bef7a2cd6,45,intrigued,15-08-2020 12:27,GIF,tennis
267,0be59876-d70c-486c-8e0b-a06bef7a2cd6,0,disgust,31-03-2021 15:51,GIF,tennis
268,0be59876-d70c-486c-8e0b-a06bef7a2cd6,35,peeking,15-02-2021 03:32,GIF,tennis
269,0be59876-d70c-486c-8e0b-a06bef7a2cd6,15,scared,29-03-2021 19:03,GIF,tennis
270,0be59876-d70c-486c-8e0b-a06bef7a2cd6,15,scared,29-07-2020 10:40,GIF,tennis
271,0be59876-d70c-486c-8e0b-a06bef7a2cd6,5,hate,08-05-2021 13:47,GIF,tennis
272,0be59876-d70c-486c-8e0b-a06bef7a2cd6,60,heart,06-11-2020 02:36,GIF,tennis
273,0be59876-d70c-486c-8e0b-a06bef7a2cd6,75,super love,25-07-2020 16:31,GIF,tennis
274,0be59876-d70c-486c-8e0b-a06bef7a2cd6,12,worried,04-12-2020 00:56,GIF,tennis
275,0be59876-d70c-486c-8e0b-a06bef7a2cd6,75,super love,22-09-2020 02:08,GIF,tennis
276,0be59876-d70c-486c-8e0b-a06bef7a2cd6,5,hate,05-07-2020 05:50,GIF,tennis
